Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
5.0,0,6,5.0,4.0,5.0,62.0,947.0,15.0,114.0,15.795,198.0,18.0,365.0,85.0,5.8459125000000025,36.6,0.1,8.4,1610.0,350.0,4.60723,0.0,53.62105,10.91150667,2.013952576,1.7439901830000002,6.9008791920000006,1.777666473,0.386449233,0.376423598,24.11086792
14.0,0,6,13.0,27.0,13.0,62.0,235.0,2.0,28.0,29.16,9.0,0.1,25.0,28.0,3.219945,171.6803,0.2,8.3,420.0,190.0,0.2841257,0.0,9.341172,10.13211333,0.494655019,3.219674184,13.80175838,0.46373908,0.209786727,0.093410291,28.41513702
103.0,0,6,105.0,97.0,97.0,62.0,791.0,5.0,68.0,53.46,150.0,0.1,252.0,74.0,0.0,341.6,0.7,8.1,1430.0,390.0,3.3054339999999995,0.0,45.56359000000001,8.573326667,1.201305045,5.9027360039999985,48.30615434,1.578921153,0.43061486,0.314415065,66.30747314
68.0,0,5,70.0,61.0,43.0,62.0,331.0,4.0,50.0,31.59,21.0,0.1,78.0,25.0,3.219945,171.6803,0.5,8.3,620.0,255.0,0.5723198,0.0,15.19696,10.13211333,0.883312533,3.4879803660000004,34.50439596,0.684567213,0.28155587,0.131569389,50.10549466
120.0,0,12,120.0,109.0,78.0,62.0,666.0,2.0,16.0,60.75,150.0,0.1,202.0,76.0,0.0,305.0,0.8,8.2,1230.0,290.0,3.832237,0.0,52.93972,9.35272,0.282660011,6.70765455,55.20703353,1.35809302,0.320200793,0.26472874,73.49309065
102.0,0,10,103.0,95.0,95.0,62.0,530.0,4.0,18.0,24.3,161.0,0.1,64.0,36.0,5.8459125000000025,225.7,0.8,8.6,990.0,145.0,5.817888,0.0,70.71311999999998,12.47029333,0.317992512,2.68306182,55.20703353,1.09309926,0.160100397,0.210670018,72.14225087
111.0,0,6,112.0,104.0,105.0,62.0,383.0,3.0,10.0,66.825,44.0,0.1,78.0,23.0,5.648532,239.2259,0.7,8.4,790.0,300.0,1.105178,0.0,24.1825,10.91150667,0.176662507,7.378420005,48.30615434,0.872271127,0.3312422,0.15223889999999998,68.12849575
127.0,0,6,128.0,113.0,114.0,62.0,1139.0,17.0,5.2,73.38600000000002,320.0,3.0,383.0,9.0,5.8459125000000025,201.3,1.1749999999999998,8.8,2030.0,315.0,7.843669999999999,0.0,68.58713,14.02908,0.091864503,8.102846696,81.08533050499999,2.2414055530000003,0.34780431,0.452741793,99.67157988375
30.0,0,0,29.0,20.0,43.0,62.0,169.0,2.0,18.0,17.01,14.0,7.0,28.0,3.0,1.760352,118.1604,0.2,8.2,310.0,115.0,0.5681099000000001,0.0,19.73313,9.35272,0.317992512,1.878143274,13.80175838,0.34228360700000005,0.126976177,0.06717591099999999,25.88704986
49.0,0,5,47.0,37.0,41.0,62.0,342.0,3.0,38.0,14.58,71.0,0.1,64.0,34.0,3.219945,171.6803,0.4,8.3,620.0,155.0,2.482145,0.0,49.9161,10.13211333,0.671317525,1.6098370919999998,27.60351677,0.684567213,0.171141803,0.135941785,41.00843552
63.0,0,5,63.0,54.0,54.0,62.0,414.0,3.0,40.0,53.46,41.0,0.1,121.0,32.0,3.4040470000000003,181.4962,0.4,8.3,820.0,320.0,0.9973168,0.0,21.7986,10.13211333,0.706650027,5.9027360039999985,27.60351677,0.905395347,0.353325013,0.164561108,45.7682976
99.0,0,5,100.0,92.0,92.0,62.0,750.0,3.0,16.0,68.04,173.0,0.1,255.0,59.0,5.8459125000000025,59.78,0.7,8.5,1390.0,320.0,4.207523,0.0,54.04018000000001,11.6909,0.282660011,7.5125730960000014,48.30615434,1.534755527,0.353325013,0.29811795,69.97848594
92.0,0,5,94.0,88.0,90.0,62.0,1439.5,9.0,120.0,91.125,143.0,0.1,520.125,154.5,0.0,280.6,0.4,7.8,2643.75,570.0,1.509394,0.0,15.4779,6.235146667,2.1199500800000006,10.2627114615,27.60351677,2.9314934705,0.6293601799999999,0.575168897875,70.00404007
33.0,0,8,31.0,21.0,24.0,62.0,435.0,5.0,68.0,32.805,46.0,4.0,128.0,19.0,5.8459125000000025,181.2122,0.4,8.7,820.0,305.0,1.146363,0.0,24.41241,13.24968667,1.201305045,3.622133457,27.60351677,0.905395347,0.33676290299999995,0.172908411,47.0917086
50.0,0,5,48.0,42.0,42.0,62.0,204.0,4.0,22.0,27.945,9.0,0.1,39.0,19.0,3.315177,111.5267,0.4,8.5,380.0,170.0,0.30036290000000004,0.0,10.32521,11.6909,0.388657515,3.085521093,27.60351677,0.419573453,0.187703913,0.081088082,43.45696082
7.0,0,5,7.0,6.0,7.0,62.0,307.0,2.0,78.0,1.215,28.0,0.1,57.0,12.0,3.6802,196.22,0.1,8.3,520.0,200.0,0.8620071,0.0,23.36302,10.13211333,1.377967552,0.134153091,6.9008791920000006,0.574153147,0.220828133,0.122029614,19.46212406
36.0,0,5,34.0,26.0,27.0,62.0,173.0,5.0,30.0,6.075,1.0,20.0,25.0,24.0,1.378927,73.52131,0.1,8.3,250.0,100.0,0.04352964,0.0,1.704395,10.13211333,0.52998752,0.670765455,6.9008791920000006,0.276035167,0.110414067,0.068765874,18.68896061
8.0,0,6,8.0,8.0,8.0,13.0,476.0,3.0,48.0,19.44,87.0,24.0,142.0,54.0,1.074351,143.8859,0.05,7.9,840.0,200.0,2.6775290000000003,0.0,45.0873,7.0145399999999976,0.847980032,2.146449456,3.4504395960000003,0.92747816,0.220828133,0.189205526,14.7969209
6.0,0,0,6.0,5.0,6.0,13.0,512.0,13.0,40.0,25.515,99.0,23.0,99.0,57.0,0.0,219.6,0.2,7.9,900.0,205.0,3.009171,0.0,47.89896,7.0145399999999976,0.706650027,2.817214911,13.80175838,0.9937266,0.226348837,0.203515187,25.76375394
1.0,0,0,1.0,1.0,1.0,13.0,230.0,1.0,38.0,9.72,25.0,21.0,57.0,2.0,1.11703,118.833,0.1,8.0,430.0,135.0,0.936572,0.0,25.16766,7.793933332999999,0.671317525,1.073224728,6.9008791920000006,0.474780487,0.14905899,0.091422838,17.15461709
53.0,0,0,52.0,46.0,48.0,13.0,1439.5,3.0,100.0,91.125,320.0,26.0,520.125,5.0,0.0,292.8,0.2,7.7,2643.75,570.0,5.050955,0.0,46.75172,5.455753333,1.766625067,10.2627114615,13.80175838,2.9314934705,0.6293601799999999,0.575168897875,39.45334859
22.0,0,0,21.0,7.0,19.0,13.0,1093.0,19.5,68.0,57.105,252.0,1.0,411.0,62.0,0.0,262.3,0.1,7.8,1910.0,405.0,5.44925,0.0,57.45097,6.235146667,1.201305045,6.305195277,6.9008791920000006,2.108908673,0.44717697,0.434457226,23.63306905
15.0,0,0,14.0,13.0,14.0,13.0,796.0,14.0,72.0,58.32,130.0,22.0,238.0,55.0,0.0,317.2,0.1,7.8,1460.0,420.0,2.760486,0.0,38.70538,6.235146667,1.271970048,6.439348367999999,6.9008791920000006,1.6120453730000002,0.46373908,0.316402518,23.23953125
89.0,0,0,91.0,84.0,86.0,13.0,1439.5,4.0,56.0,91.125,335.0,32.0,390.0,154.5,0.0,508.72665000000006,0.6,7.8,2643.75,570.0,5.901653,0.0,52.8287,6.235146667,0.989310037,10.2627114615,41.40527515,2.9314934705,0.6293601799999999,0.575168897875,65.55850483
