Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
13206,Kancheepuram,Chengalpattu,Palavakkam,"12°57'45""","80°15'30""",02-01-2015,947,15,114,15.795,198,18,365,85,66,36.6,0.1,8.4,1610,350,4.60723,0,53.62105,10.91150667,2.013952576,1.743990183,6.900879192,1.777666473,0.386449233,0.376423598,24.11086792
11902,Kancheepuram,Chengalpattu,Nenmeli,"12°39'57""","80°01'03""",02-01-2015,235,2,28,29.16,9,0.1,25,28,3.219945,171.6803,0.2,8.3,420,190,0.2841257,0,9.341172,10.13211333,0.494655019,3.219674184,13.80175838,0.46373908,0.209786727,0.093410291,28.41513702
11904,Kancheepuram,Chengalpattu,Nathankariyachery,"12°34'17""","80°06'30""",02-01-2015,791,5,68,53.46,150,0.1,252,74,0,341.6,0.7,8.1,1430,390,3.305434,0,45.56359,8.573326667,1.201305045,5.902736004,48.30615434,1.578921153,0.43061486,0.314415065,66.30747314
13008,Kancheepuram,Thirukazhukkuntram,Agathy Mangalam,"12°35'20""","80°10'40""",02-01-2015,331,4,50,31.59,21,0.1,78,25,3.219945,171.6803,0.5,8.3,620,255,0.5723198,0,15.19696,10.13211333,0.883312533,3.487980366,34.50439596,0.684567213,0.28155587,0.131569389,50.10549466
13011A,Kancheepuram,Madurandagam,Madurandagam,"12°31'36""","79°53'12""",02-01-2015,666,2,16,60.75,150,0.1,202,76,0,305,0.8,8.2,1230,290,3.832237,0,52.93972,9.35272,0.282660011,6.70765455,55.20703353,1.35809302,0.320200793,0.26472874,73.49309065
13158,Kancheepuram,Sriperumbudur,Maduramangalam,"12°57'00""","79°49'00""",02-01-2015,530,4,18,24.3,161,0.1,64,36,96,225.7,0.8,8.6,990,145,5.817888,4.001633,70.71312,12.47029333,0.317992512,2.68306182,55.20703353,1.09309926,0.160100397,0.210670018,72.14225087
HP11929,Kancheepuram,Chengalpattu,Thaiyuur 52,"12°46'30""","80°12'40""",02-01-2015,383,3,10,66.825,44,0.1,78,23,5.648532,239.2259,0.7,8.4,790,300,1.105178,0,24.1825,10.91150667,0.176662507,7.378420005,48.30615434,0.872271127,0.3312422,0.1522389,68.12849575
HP11930,Kancheepuram,Chengalpattu,Nellikuppam,"12°44'58""","80°07'55""",02-01-2015,1139,17,5.2,73.386,320,3,383,9,150,201.3,5,8.8,2030,315,7.84367,2.001303,68.58713,14.02908,0.091864503,8.102846696,345.0439596,2.241405553,0.34780431,0.452741793,370.3097024
HP11954,Kancheepuram,Tambaram,Ponmar,"12°51'10""","80°10'40""",02-01-2015,169,2,18,17.01,14,7,28,3,1.760352,118.1604,0.2,8.2,310,115,0.5681099,0,19.73313,9.35272,0.317992512,1.878143274,13.80175838,0.342283607,0.126976177,0.067175911,25.88704986
HP11964,Kancheepuram,Thirukazhukkuntram,Panangattucherry,"12°30'10""","80°04'55""",02-01-2015,342,3,38,14.58,71,0.1,64,34,3.219945,171.6803,0.4,8.3,620,155,2.482145,0,49.9161,10.13211333,0.671317525,1.609837092,27.60351677,0.684567213,0.171141803,0.135941785,41.00843552
11903,Kancheepuram,Thirukazhukkuntram,Kuzhipanthandalam,"12°37'24""","80°06'52""",02-01-2015,414,3,40,53.46,41,0.1,121,32,3.404047,181.4962,0.4,8.3,820,320,0.9973168,0,21.7986,10.13211333,0.706650027,5.902736004,27.60351677,0.905395347,0.353325013,0.164561108,45.7682976
HP11929A,Kancheepuram,Thirukazhukkuntram,Manamathi,"12°39'25""","80°07'10""",02-01-2015,750,3,16,68.04,173,0.1,255,59,135.6,59.78,0.7,8.5,1390,320,4.207523,0,54.04018,11.6909,0.282660011,7.512573096,48.30615434,1.534755527,0.353325013,0.29811795,69.97848594
HP13006,Kancheepuram,Thirukazhukkuntram,P.v.kalathur,"12°37'04""","79°58'31""",02-01-2015,2112,9,336,208.98,143,0.1,1085,159,0,280.6,0.4,7.8,4020,1700,1.509394,0,15.4779,6.235146667,5.935860224,23.07433165,27.60351677,4.43864548,1.877039133,0.839500147,70.00404007
LabKpm06,Kancheepuram,Chenglepet,Kottamedu,"12°43'17""","80°06'44""",02-01-2015,435,5,68,32.805,46,4,128,19,8.537194,181.2122,0.4,8.7,820,305,1.146363,0,24.41241,13.24968667,1.201305045,3.622133457,27.60351677,0.905395347,0.336762903,0.172908411,47.0917086
LabKpm07,Kancheepuram,Thirukazhukkuntram,Amur,"12°39'40""","80°08'24""",02-01-2015,204,4,22,27.945,9,0.1,39,19,3.315177,111.5267,0.4,8.5,380,170,0.3003629,0,10.32521,11.6909,0.388657515,3.085521093,27.60351677,0.419573453,0.187703913,0.081088082,43.45696082
LabKpm08,Kancheepuram,Thirukazhukkuntram,Sadras,"12°31'43""","80°09'40""",02-01-2015,307,2,78,1.215,28,0.1,57,12,3.6802,196.22,0.1,8.3,520,200,0.8620071,0,23.36302,10.13211333,1.377967552,0.134153091,6.900879192,0.574153147,0.220828133,0.122029614,19.46212406
13243,Kancheepuram,Thirukazhukkuntram,L.endathur,"12°31'04""","79°46'12""",02-01-2015,173,5,30,6.075,1,20,25,24,1.378927,73.52131,0.1,8.3,250,100,0.04352964,0,1.704395,10.13211333,0.52998752,0.670765455,6.900879192,0.276035167,0.110414067,0.068765874,18.68896061
